Id,Movie,Studio Dirty,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
1,Bad Boys For Life,SonyPict…,Sony Pictures,"$204,417,855 ","$62,504,105 ","3,775"
2,Sonic The Hedgehog,Paramount…,Paramount Pictures,"$146,066,470 ","$58,018,348 ","4,198"
3,Birds of Prey (And the Fantabulous Emancipation…,WarnerBros.,Warner Bros.,"$84,158,461 ","$33,010,017 ","4,236"
4,Dolittle,Universal,Universal Studio,"$77,047,065 ","$21,844,045 ","4,155"
5,The Invisible Man,Universal,Universal Studio,"$64,914,050 ","$28,205,665 ","3,636"
6,The Call of the Wild,20thCent…,20th Century,"$62,342,368 ","$24,791,624 ","3,914"
7,Onward,WaltDisney,Walt Disney,"$61,555,145 ","$39,119,861 ","4,310"
8,The Croods: A New Age,Universal,Universal Studio,"$58,568,815 ","$9,724,200 ","2,211"
9,Tenet,WarnerBros.,Warner Bros.,"$58,504,105 ","$20,001,852 ","2,930"
10,Wonder Woman 1984,WarnerBros.,Warner Bros.,"$46,801,036 ","$16,701,957 ","2,218"
11,The Gentlemen,STXEnter…,STX Entertainment,"$36,471,796 ","$10,651,884 ","2,675"
12,Fantasy Island,SonyPict…,Sony Pictures,"$26,441,782 ","$12,310,420 ","2,784"
13,The New Mutants,20thCent…,20th Century,"$23,855,569 ","$7,037,017 ","2,754"
14,Like a Boss,Paramount…,Paramount Pictures,"$22,169,514 ","$10,011,272 ","3,081"
15,The War with Grandpa,101Studios,101 Studios,"$21,277,892 ","$3,623,880 ","2,365"
16,The Grudge,SonyPict…,Sony Pictures,"$21,216,148 ","$11,404,113 ","2,642"
17,Unhinged,Solstice Studio,Solstice Studio,"$20,831,465 ","$601,032 ","2,402"
18,The Photograph,Universal,Universal Studio,"$20,578,185 ","$12,181,865 ","2,516"
19,Underwater,20thCent…,20th Century,"$17,291,078 ","$7,008,297 ","2,791"
20,The Turning,Universal,Universal Studio,"$15,472,775 ","$6,950,045 ","2,571"
21,Gretel & Hansel,UnitedAr…,United Artists,"$15,347,654 ","$6,154,007 ","3,007"
22,Monster Hunter,SonyPict…,Sony Pictures,"$15,162,470 ","$2,201,269 ","1,817"
23,Honest Thief,Briarclif…,Briarcliff Entertainment,"$14,163,574 ",$0 ,"2,502"
24,The Way Back,WarnerBros.,Warner Bros.,"$13,590,514 ","$8,170,315 ","2,718"
25,Boku no Hīrō Akademia The Movie Hīrōzu: Raijing…,FUNimation,FUNimation,"$13,553,826 ","$5,891,252 ","1,275"
26,News of the World,Universal,Universal Studio,"$12,668,325 ","$2,250,430 ","1,986"
27,Brahms: The Boy II,STXEnter…,STX Entertainment,"$12,611,536 ","$5,823,006 ","2,151"
28,Come Play,FocusFea…,Focus Features,"$10,475,990 ","$3,119,875 ","2,213"
29,Impractical Jokers: The Movie,truTV,truTV,"$10,466,091 ","$2,607,049 ","1,900"
30,I Still Believe,Lionsgate,Lionsgate,"$10,410,004 ","$9,103,614 ","3,250"
31,Emma.,FocusFea…,Focus Features,"$10,055,355 ","$234,482 ","1,732"
